                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "12.1.0"                                       ""                                 "CRMATH"                               "20231105"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166                                      167                                      168                                      169                                      170                                      171                                      172                                      173                                      174                                      175                                      176                                      177                                      178                                      179                                      180                                      181                                      182                                      183                                      184                                      185                                      186                                      187                                      188                                      189                                      190                                      191                                      192                                      193                                      194                                      195                                      196                                      197                                      198                                      199                                      200                                      201                                      202                                      203                                      204                                      205                                      206                                      207                                      208                                      209                                      210                                      211                                      212                                      213                                      214                                      215                                      216                                      217                                      218                                      219                                      220                                      221                                      222                                      223                                      224                                      225                                      226                                      227                                      228                                      229                                      230                                      231                                      232                                      233                                      234                                      235                                      236                                      237                                      238                                      239                                      240                                      241                                      242                                      243                                      244                                      245                                      246                                      247                                      248                                      249                                      250                                      251                                      252                                      253                                      254                                      255                                      256                                      257                                      258                                      259                                      260                                      261                                      262                                      263                                      264                                      265                                      266                                      267                                      268                                      269                                      270                                      271                                      272                                      273                                      274                                      275                                      276                                      277                                      278                                      279                                      280                                      281                                      282                                      283                                      284                                      285                                      286                                      287                                      288                                      289                                      290                                      291                                      292                                      293                                      294                                      295                                      296                                      297                                      298                                      299                                      300                                      301                                      302                                      303                                      304                                      305                                      306                                      307                                      308                                      309                                      310                                      311                                      312                                      313                                      314                                      315                                      316 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                              mix_type_21                              mix_qtop_21                              mix_type_22                              mix_qtop_22                              mix_type_23                              mix_qtop_23                              mix_type_24                              mix_qtop_24                              mix_type_25                              mix_qtop_25                              mix_type_26                              mix_qtop_26                              mix_type_27                              mix_qtop_27                              mix_type_28                              mix_qtop_28                              mix_type_29                              mix_qtop_29                              mix_type_30                              mix_qtop_30                              mix_type_31                              mix_qtop_31                              mix_type_32                              mix_qtop_32                              mix_type_33                              mix_qtop_33                              mix_type_34                              mix_qtop_34                              mix_type_35                              mix_qtop_35                              mix_type_36                              mix_qtop_36                              mix_type_37                              mix_qtop_37                              mix_type_38                              mix_qtop_38                              mix_type_39                              mix_qtop_39                              mix_type_40                              mix_qtop_40                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                         mix_relr_type_11                          mix_relr_top_11                         mix_relr_type_12                          mix_relr_top_12                         mix_relr_type_13                          mix_relr_top_13                         mix_relr_type_14                          mix_relr_top_14                         mix_relr_type_15                          mix_relr_top_15                         mix_relr_type_16                          mix_relr_top_16                         mix_relr_type_17                          mix_relr_top_17                         mix_relr_type_18                          mix_relr_top_18                         mix_relr_type_19                          mix_relr_top_19                         mix_relr_type_20                          mix_relr_top_20                         mix_relr_type_21                          mix_relr_top_21                         mix_relr_type_22                          mix_relr_top_22                         mix_relr_type_23                          mix_relr_top_23                         mix_relr_type_24                          mix_relr_top_24                         mix_relr_type_25                          mix_relr_top_25                         mix_relr_type_26                          mix_relr_top_26                         mix_relr_type_27                          mix_relr_top_27                         mix_relr_type_28                          mix_relr_top_28                         mix_relr_type_29                          mix_relr_top_29                         mix_relr_type_30                          mix_relr_top_30                         mix_relr_type_31                          mix_relr_top_31                         mix_relr_type_32                          mix_relr_top_32                         mix_relr_type_33                          mix_relr_top_33                         mix_relr_type_34                          mix_relr_top_34                         mix_relr_type_35                          mix_relr_top_35                         mix_relr_type_36                          mix_relr_top_36                         mix_relr_type_37                          mix_relr_top_37                         mix_relr_type_38                          mix_relr_top_38                         mix_relr_type_39                          mix_relr_top_39                         mix_relr_type_40                          mix_relr_top_40                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                              burn_type_1                              burn_qtop_1                              burn_type_2                              burn_qtop_2                              burn_type_3                              burn_qtop_3                              burn_type_4                              burn_qtop_4                              burn_type_5                              burn_qtop_5                              burn_type_6                              burn_qtop_6                              burn_type_7                              burn_qtop_7                              burn_type_8                              burn_qtop_8                              burn_type_9                              burn_qtop_9                             burn_type_10                             burn_qtop_10                             burn_type_11                             burn_qtop_11                             burn_type_12                             burn_qtop_12                             burn_type_13                             burn_qtop_13                             burn_type_14                             burn_qtop_14                             burn_type_15                             burn_qtop_15                             burn_type_16                             burn_qtop_16                             burn_type_17                             burn_qtop_17                             burn_type_18                             burn_qtop_18                             burn_type_19                             burn_qtop_19                             burn_type_20                             burn_qtop_20                         burn_relr_type_1                          burn_relr_top_1                         burn_relr_type_2                          burn_relr_top_2                         burn_relr_type_3                          burn_relr_top_3                         burn_relr_type_4                          burn_relr_top_4                         burn_relr_type_5                          burn_relr_top_5                         burn_relr_type_6                          burn_relr_top_6                         burn_relr_type_7                          burn_relr_top_7                         burn_relr_type_8                          burn_relr_top_8                         burn_relr_type_9                          burn_relr_top_9                        burn_relr_type_10                         burn_relr_top_10                        burn_relr_type_11                         burn_relr_top_11                        burn_relr_type_12                         burn_relr_top_12                        burn_relr_type_13                         burn_relr_top_13                        burn_relr_type_14                         burn_relr_top_14                        burn_relr_type_15                         burn_relr_top_15                        burn_relr_type_16                         burn_relr_top_16                        burn_relr_type_17                         burn_relr_top_17                        burn_relr_type_18                         burn_relr_top_18                        burn_relr_type_19                         burn_relr_top_19                        burn_relr_type_20                         burn_relr_top_20                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                        dynamic_timescale                             kh_timescale                           mdot_timescale                   kh_div_mdot_timescales                            nuc_timescale                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                            log_center_h1                           log_center_he3                           log_center_he4                           log_center_c12                           log_center_n14                           log_center_o16                          log_center_ne20                          log_center_mg24                          log_center_fe56                          log_center_ni58                           log_surface_h1                          log_surface_he3                          log_surface_he4                          log_surface_c12                          log_surface_n14                          log_surface_o16                         log_surface_ne20                         log_surface_mg24                         log_surface_fe56                         log_surface_ni58                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1569                  8.4781448918832884E+003                  3.9283008344081494E+000                  4.1768215524082350E+000                  3.3919351831529575E+001                 -4.4420838186646696E+000                  1.5058308643162777E-001                  9.9999888645481849E-001                  2.1418576322390381E-001                  3.5758332094842263E-002                  8.4205035032086931E-008                  9.9999888645481849E-001                  2.1418576322390381E-001                  3.5758332094842263E-002                  8.4205035032086931E-008                                        1                  3.6052075613526247E-002                                        0                  2.1418576322390381E-001                                        1                  9.9999896982679792E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  5.4832478256614285E-004                                        0                  1.1844699816521154E-001                                        1                  9.9855561986543639E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.8840419792482725E+000                  1.6109281651131191E+000                  3.1212242165174009E-001                  2.9077055598263120E+000                 -9.3606021608295276E-001                  2.8839762566118035E+000                  1.6109281651131191E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7768910405029223E+031                  1.0101417561067644E+032                  1.1725879715237179E+033                  1.1816478966090856E+033                  1.2495450397118934E+033                  1.2668739411687820E+033                                        5                  2.6519750339087662E-004                                        4                  4.4173641909897501E-003                                        3                  1.0146799494006178E-002                                        2                  1.6376045310149266E-002                                        1                  2.2565803575432829E-002                                        0                  1.3999353143130902E-001                                        1                  1.4065020025865893E-001                                        2                  1.4139487164091111E-001                                        3                  1.4226409828521289E-001                                        4                  1.4333685049781741E-001                                        5                  1.4509282429525958E-001                                        6                  1.4646776194617037E-001                                        5                  1.4872592731192688E-001                                        4                  1.5043933233352436E-001                                        3                  1.5204508727895727E-001                                        2                  1.5365136583823155E-001                                        1                  1.5518427420941566E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        5                  9.5616256452996521E-005                                        4                  2.5049582937060468E-004                                        3                  3.3653652462546234E-004                                        2                  4.0150294614902347E-004                                        1                  4.5387320503808832E-004                                        0                  1.5155349930928838E-003                                        1                  1.5415114472600014E-003                                        2                  1.5735117389838599E-003                                        3                  1.6148699696200758E-003                                        4                  1.6732015715854363E-003                                        5                  1.7943864627590347E-003                                        6                  1.9286505992438111E-003                                        5                  2.2408705794891050E-003                                        4                  2.5348317653226412E-003                                        3                  2.8575382733583544E-003                                        2                  3.2330678952494684E-003                                        1                  3.6450035135011639E-003                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.0926029624176536E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7354671523695081E+006                  1.0101951462936406E+004                  1.1559252214683841E+005                  8.7392776585528506E-002                  5.1431988578893885E+007                  3.6389022975523533E+000                  2.9096126048558957E+000                  1.6996548681877381E+000                  1.6596038120965624E+000                  0.0000000000000000E+000                  2.0056357535020837E+001                  4.1492984215836897E+000                  8.0885178502854522E+000                  1.3491754906129392E+000                  5.0000000000000011E-001                  4.1460500370017641E+000                 -9.8999999999999986E+001                 -3.6585471819341919E+001                 -2.2402410030049474E-002                 -1.5154719370762855E+000                 -1.9191388254836756E+000                 -3.2406750538748725E+000                 -2.5140934274910487E+000                 -2.3896356572196140E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6283396688747953E-001                 -4.1806459007118182E+000                 -5.3394974944257700E-001                 -2.6598969611783843E+000                 -2.5420396106529108E+000                 -2.0490148734523110E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  2.3903819325919380E+000                  1.6977952274996533E+000                                        2                                        5 
                                       5                                     1512                  3.8511125356890647E+004                  3.7167520414316049E+000                  2.8365943458165792E+000                  3.3751303143241515E+001                 -4.2712310445471608E+000                  1.4125303825331864E-001                  9.9999756201086143E-001                  2.8585927850664411E-001                  4.9237298045038153E-002                  6.1995010127958200E-008                  9.9999756201086143E-001                  2.8585927850664411E-001                  4.9237298045038153E-002                  6.1995010127958200E-008                                        1                  4.9796700209051463E-002                                        0                  2.8585927850664411E-001                                        1                  9.9999757433801817E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  4.9529118633682100E-004                                        0                  8.4229759798651604E-002                                        1                  9.9775880198993872E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                  2.8700047567645304E+000                  1.5940254189885712E+000                  2.9488471882600520E-001                  2.8935160093107832E+000                 -9.4676817877473352E-001                  2.8699385283300010E+000                  1.5940254189885712E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7023417883504777E+031                  1.0006509598991556E+032                  1.1726559269148081E+033                  1.1818454909354116E+033                  1.2492653558344551E+033                  1.2665167591597140E+033                                        5                  3.3271680652755350E-004                                        4                  6.3722057802036202E-003                                        3                  1.4783256825978832E-002                                        2                  2.3938240193600174E-002                                        1                  3.3046785302419952E-002                                        0                  2.0614509106157414E-001                                        1                  2.0711452041186204E-001                                        2                  2.0821274122612646E-001                                        3                  2.0949597852906812E-001                                        4                  2.1108273305224085E-001                                        5                  2.1372573346884882E-001                                        6                  2.1558194509216191E-001                                        5                  2.1895309856143269E-001                                        4                  2.2146834220423534E-001                                        3                  2.2381379235823559E-001                                        2                  2.2614779379263808E-001                                        1                  2.2837574517073800E-001                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                        5                  8.4174184621933271E-005                                        4                  2.3072774119636301E-004                                        3                  3.1101497491412591E-004                                        2                  3.7147125800631988E-004                                        1                  4.2018423713976392E-004                                        0                  1.4042202068917900E-003                                        1                  1.4282193681594863E-003                                        2                  1.4577504099351636E-003                                        3                  1.4959554692449343E-003                                        4                  1.5499465614946762E-003                                        5                  1.6646563863902837E-003                                        6                  1.7777254007665547E-003                                        5                  2.0670906531443075E-003                                        4                  2.3366795028980625E-003                                        3                  2.6316740154619760E-003                                        2                  2.9739074030905948E-003                                        1                  3.3503821172073895E-003                                        0                  1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                                    -9999                 -1.0000000000000000E+000                  6.0931663998456986E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3601252927416987E+006                  4.4909439016077376E+003                  5.2969793202848487E+004                  8.4783111846587961E-002                  3.6325413651111498E+007                  3.6181477068110084E+000                  2.8925866644084515E+000                  1.7326510794467058E+000                  1.4255627012905665E+000                  0.0000000000000000E+000                  2.0054645272132944E+001                  4.1480375310914912E+000                  8.0881067888470213E+000                  1.3491754906129392E+000                  5.0000000000000000E-001                  4.1460500370017641E+000                 -9.8999999999999986E+001                 -3.6585475201096784E+001                 -2.2402410030049474E-002                 -1.5154719370762859E+000                 -1.9191388254836756E+000                 -3.2406750538748725E+000                 -2.5140934274910487E+000                 -2.3896356572196140E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6283396688747939E-001                 -4.1806459007117933E+000                 -5.3394974944257700E-001                 -2.6598969611783843E+000                 -2.5420396106529108E+000                 -2.0490148734523110E+000                 -2.6808888533559170E+000                 -2.3896356592613932E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.4692020117741273E+000                  1.3058470219913523E+000                                        2                                        8 
